Wavelength (nm),N2 Baseline,0.15P DMMP,0.25P DMMP,0.50P DMMP,0.15P DCP,0.25P DCP,0.50 DCP,0.15P EtOH,0.25P EtOH,0.50P EtOH,0.15P MeOH,0.25P MeOH,0.50P MeOH,0.15P Water,0.25P Water,0.50P Water
704.219,0.244491,-1.35425,-0.915028,-1.17565,0.111113,0.136055,0.344679,-3.68117,-5.80288,-7.46375,-1.83492,-1.52903,-2.90934,-1.91205,-2.04491,-4.00154
704.557,0.241457,-1.35694,-0.915538,-1.17853,0.111837,0.141334,0.346549,-3.67427,-5.79812,-7.46436,-1.83268,-1.51508,-2.88937,-1.90609,-2.03765,-4.01116
704.895,0.238419,-1.35874,-0.915438,-1.18049,0.111975,0.145818,0.347586,-3.66737,-5.79368,-7.46481,-1.82988,-1.50066,-2.86918,-1.8999,-2.0302,-4.02087
705.233,0.235378,-1.35965,-0.914731,-1.18153,0.111515,0.149493,0.347799,-3.66048,-5.78956,-7.4651,-1.82652,-1.48575,-2.84874,-1.8935,-2.02258,-4.03066
705.571,0.232337,-1.35968,-0.913426,-1.18166,0.110449,0.152351,0.347198,-3.65364,-5.78576,-7.46524,-1.82259,-1.47036,-2.82802,-1.88693,-2.0148,-4.04053
705.909,0.229297,-1.35882,-0.911535,-1.1809,0.10877,0.154388,0.345801,-3.64686,-5.78229,-7.46524,-1.81809,-1.45447,-2.80702,-1.88021,-2.00686,-4.05047
706.247,0.22626,-1.3571,-0.90908,-1.17924,0.106474,0.155603,0.343625,-3.64016,-5.77915,-7.46511,-1.81302,-1.43806,-2.78572,-1.87338,-1.99879,-4.06046
706.585,0.223229,-1.35453,-0.906082,-1.17672,0.103558,0.156,0.340693,-3.63357,-5.77634,-7.46485,-1.80738,-1.42112,-2.7641,-1.86646,-1.99057,-4.07049
706.923,0.220205,-1.35113,-0.902572,-1.17336,0.10002,0.155586,0.337033,-3.62711,-5.77386,-7.46447,-1.80118,-1.40365,-2.74214,-1.85948,-1.98223,-4.08056
707.261,0.21719,-1.34692,-0.898582,-1.16919,0.0958618,0.154372,0.332673,-3.6208,-5.77171,-7.46397,-1.79443,-1.38563,-2.71982,-1.85247,-1.97376,-4.09063
707.598,0.214187,-1.34193,-0.89415,-1.16424,0.0910848,0.152374,0.327645,-3.61466,-5.7699,-7.46338,-1.78713,-1.36705,-2.69714,-1.84546,-1.96517,-4.10068
707.936,0.211198,-1.3362,-0.889317,-1.15855,0.0856935,0.149611,0.321984,-3.60872,-5.76841,-7.46268,-1.77929,-1.34792,-2.67406,-1.83847,-1.95647,-4.11069
708.274,0.208225,-1.32975,-0.884128,-1.15217,0.0796938,0.146104,0.315728,-3.60299,-5.76726,-7.46189,-1.77093,-1.32821,-2.65059,-1.83153,-1.94766,-4.12064
708.611,0.205271,-1.32264,-0.878632,-1.14513,0.0730934,0.141879,0.308916,-3.5975,-5.76644,-7.46101,-1.76207,-1.30792,-2.6267,-1.82466,-1.93873,-4.13049
708.949,0.202337,-1.31491,-0.872878,-1.13751,0.0659018,0.136965,0.301589,-3.59227,-5.76595,-7.46006,-1.75273,-1.28706,-2.60238,-1.81788,-1.92969,-4.14021
709.286,0.199426,-1.30659,-0.866921,-1.12933,0.0581305,0.131392,0.29379,-3.5873,-5.76579,-7.45903,-1.74292,-1.26562,-2.57763,-1.8112,-1.92055,-4.14977
709.624,0.196541,-1.29774,-0.860815,-1.12067,0.0497926,0.125196,0.285564,-3.58263,-5.76597,-7.45793,-1.73267,-1.24359,-2.55244,-1.80466,-1.9113,-4.15912
